Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Runge-Kutter
0 0 1
0.01 0.005 1 0.500012
0.02 0.00999988 0.99995 0.5
0.03 0.0149995 0.999875 0.499988
0.04 0.0199988 0.999775 0.499975
0.05 0.0249975 0.99965 0.499963
0.06 0.0299956 0.9995 0.49995
0.07 0.034993 0.999325 0.499938
0.08 0.0399895 0.999125 0.499925
0.09 0.044985 0.9989 0.499913
0.1 0.0499794 0.99865 0.4999
0.11 0.0549725 0.998375 0.499888
0.12 0.0599643 0.998076 0.499875
0.13 0.0649545 0.997751 0.499863
0.14 0.0699431 0.997401 0.49985
0.15 0.07493 0.997026 0.499838
0.16 0.079915 0.996627 0.499826
0.17 0.084898 0.996202 0.499813
0.18 0.0898789 0.995753 0.499801
0.19 0.0948576 0.995279 0.499789
0.2 0.0998338 0.994779 0.499776
0.21 0.104808 0.994255 0.499764
0.22 0.109779 0.993706 0.499752
0.23 0.114747 0.993133 0.49974
0.24 0.119713 0.992534 0.499728
0.25 0.124675 0.991911 0.499715
0.26 0.129635 0.991263 0.499703
0.27 0.134591 0.99059 0.499691
0.28 0.139544 0.989892 0.499679
0.29 0.144493 0.989169 0.499667
0.3 0.149439 0.988422 0.499655
0.31 0.154381 0.98765 0.499643
0.32 0.159319 0.986854 0.499631
0.33 0.164253 0.986032 0.499619
0.34 0.169183 0.985186 0.499608
0.35 0.174109 0.984316 0.499596
0.36 0.17903 0.983421 0.499584
0.37 0.183947 0.982501 0.499572
0.38 0.18886 0.981557 0.499561
0.39 0.193767 0.980588 0.499549
0.4 0.19867 0.979594 0.499537
0.41 0.203568 0.978577 0.499526
0.42 0.208461 0.977534 0.499514
0.43 0.213348 0.976467 0.499503
0.44 0.218231 0.975376 0.499492
0.45 0.223107 0.974261 0.49948
0.46 0.227978 0.973121 0.499469
0.47 0.232844 0.971957 0.499458
0.48 0.237704 0.970768 0.499447
0.49 0.242557 0.969555 0.499436
0.5 0.247405 0.968318 0.499425
0.51 0.252246 0.967057 0.499414
0.52 0.257082 0.965771 0.499403
0.53 0.26191 0.964462 0.499392
0.54 0.266733 0.963128 0.499381
0.55 0.271548 0.96177 0.49937
0.56 0.276357 0.960389 0.49936
0.57 0.281159 0.958983 0.499349
0.58 0.285953 0.957553 0.499338
0.59 0.290741 0.956099 0.499328
0.6 0.295521 0.954621 0.499318
0.61 0.300294 0.95312 0.499307
0.62 0.30506 0.951595 0.499297
0.63 0.309818 0.950046 0.499287
0.64 0.314568 0.948473 0.499277
0.65 0.31931 0.946876 0.499267
0.66 0.324044 0.945256 0.499257
0.67 0.328771 0.943612 0.499247
