Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
0 0 1
0.1 0.05 0.999992
0.2 0.0998746 0.999938
0.3 0.149747 1.00224
0.4 0.199734 1.00673
0.5 0.249946 1.01319
0.6 0.30048 1.02137
0.7 0.351422 1.03093
0.8 0.402841 1.04154
0.9 0.454789 1.0528
1 0.507299 1.06428
1.1 0.560382 1.07554
1.2 0.614027 1.08611
1.3 0.668198 1.09549
1.4 0.722837 1.10318
1.5 0.777859 1.10867
1.6 0.833155 1.11148
1.7 0.888591 1.1111
1.8 0.944007 1.10705
1.9 0.999221 1.09887
2 1.05403 1.08613
2.1 1.1082 1.06843
2.2 1.16148 1.04541
2.3 1.21362 1.01674
2.4 1.26433 0.982159
2.5 1.31331 0.941433
2.6 1.36026 0.894399
2.7 1.40486 0.840947
2.8 1.4468 0.78103
2.9 1.48574 0.714661
3 1.52138 0.641919
3.1 1.55338 0.562947
3.2 1.58145 0.477952
3.3 1.60528 0.387206
3.4 1.62458 0.291043
3.5 1.63908 0.18986
3.6 1.64854 0.0841085
3.7 1.65272 -0.0257013
3.8 1.65143 -0.13901
3.9 1.64448 -0.25521
4 1.63174 -0.373652
4.1 1.61309 -0.493651
4.2 1.58845 -0.614488
4.3 1.55779 -0.735421
4.4 1.52109 -0.855687
4.5 1.4784 -0.974515
4.6 1.42978 -1.09112
4.7 1.37535 -1.20473
4.8 1.31525 -1.31458
4.9 1.24967 -1.4199
5 1.17884 -1.51997
5.1 1.10301 -1.61408
5.2 1.0225 -1.70156
5.3 0.937624 -1.78178
5.4 0.848747 -1.85417
5.5 0.756261 -1.91819
5.6 0.660583 -1.97338
5.7 0.562153 -2.01931
5.8 0.461433 -2.05566
5.9 0.358902 -2.08213
6 0.255052 -2.09854
6.1 0.150385 -2.10474
6.2 0.0454096 -2.10068
6.3 -0.059362 -2.08639
6.4 -0.163419 -2.06195
6.5 -0.266256 -2.02753
6.6 -0.367376 -1.98339
6.7 -0.466293 -1.92983
6.8 -0.562537 -1.86724
6.9 -0.655658 -1.79607
7 -0.745229 -1.71682
7.1 -0.830846 -1.63007
7.2 -0.912135 -1.53643
7.3 -0.988754 -1.43658
7.4 -1.06039 -1.33121
7.5 -1.12677 -1.22107
7.6 -1.18766 -1.10693
7.7 -1.24285 -0.989575
7.8 -1.2922 -0.869811
7.9 -1.33556 -0.748451
8 -1.37288 -0.626305
8.1 -1.4041 -0.504178
8.2 -1.42923 -0.382863
8.3 -1.44831 -0.263128
8.4 -1.46142 -0.145718
8.5 -1.46867 -0.0313419
8.6 -1.47022 0.0793291
8.7 -1.46625 0.185669
8.8 -1.45698 0.287102
8.9 -1.44264 0.383105
9 -1.42353 0.473214
9.1 -1.39991 0.557028
9.2 -1.37212 0.634208
9.3 -1.34048 0.704483
9.4 -1.30533 0.76765
9.5 -1.26704 0.823572
9.6 -1.22596 0.872185
9.7 -1.18245 0.91349
9.8 -1.13688 0.947556
9.9 -1.08962 0.974519
10 -1.04101 0.994575
10.1 -0.991406 1.00798
10.2 -0.94113 1.01505
10.3 -0.890504 1.01615
10.4 -0.839823 1.01168
10.5 -0.789366 1.00211
10.6 -0.739387 0.987915
10.7 -0.690116 0.969627
10.8 -0.641758 0.947786
