Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: leap-frog
0 0 1
0.1 0.0999992 0.999983
0.2 0.198996 0.989951
0.3 0.296994 0.979903
0.4 0.393981 0.969645
0.5 0.489923 0.958891
0.6 0.584751 0.947276
0.7 0.678359 0.934361
0.8 0.770592 0.91965
0.9 0.861243 0.902596
1 0.95005 0.882619
1.1 1.03669 0.859116
1.2 1.12079 0.831482
1.3 1.2019 0.799119
1.4 1.27952 0.761453
1.5 1.3531 0.717951
1.6 1.42204 0.668133
1.7 1.48568 0.61159
1.8 1.54334 0.54799
1.9 1.59431 0.477097
2 1.63785 0.39878
2.1 1.67322 0.313018
2.2 1.69969 0.219913
2.3 1.71654 0.119695
2.4 1.72307 0.0127227
2.5 1.71865 -0.100512
2.6 1.70268 -0.219384
2.7 1.67463 -0.343139
2.8 1.63407 -0.470895
2.9 1.58065 -0.601653
3 1.51412 -0.7343
3.1 1.43435 -0.867624
3.2 1.34135 -1.00032
3.3 1.23525 -1.13102
3.4 1.11632 -1.25829
3.5 0.984965 -1.38064
3.6 0.841761 -1.49658
3.7 0.687418 -1.6046
3.8 0.5228 -1.7032
3.9 0.348917 -1.79093
4 0.166921 -1.86637
4.1 -0.0218981 -1.92821
4.2 -0.216125 -1.97521
4.3 -0.414225 -2.00623
4.4 -0.614561 -2.02029
4.5 -0.815402 -2.01655
4.6 -1.01494 -1.99433
4.7 -1.21132 -1.95313
4.8 -1.40262 -1.89265
4.9 -1.58694 -1.81276
5 -1.76233 -1.71359
5.1 -1.92691 -1.59543
5.2 -2.0788 -1.45884
5.3 -2.21621 -1.30456
5.4 -2.33743 -1.13357
5.5 -2.44085 -0.947044
5.6 -2.52501 -0.746376
5.7 -2.58856 -0.533149
5.8 -2.63036 -0.309129
5.9 -2.64942 -0.0762515
6 -2.64497 0.163398
6.1 -2.61644 0.407604
6.2 -2.5635 0.654039
6.3 -2.48605 0.900289
6.4 -2.38423 1.14388
6.5 -2.25843 1.38229
6.6 -2.10929 1.61301
6.7 -1.93771 1.83353
6.8 -1.74482 2.04139
6.9 -1.53201 2.23421
7 -1.30087 2.4097
7.1 -1.05326 2.5657
7.2 -0.791201 2.70022
7.3 -0.516928 2.81144
7.4 -0.232841 2.89774
7.5 0.0585118 2.95772
7.6 0.354453 2.99024
7.7 0.652206 2.99441
7.8 0.948919 2.96962
7.9 1.24169 2.91555
8 1.52762 2.83218
8.1 1.80379 2.71978
8.2 2.06734 2.57894
8.3 2.3155 2.41054
8.4 2.54557 2.21578
8.5 2.75502 1.99613
8.6 2.94144 1.75337
8.7 3.10266 1.48954
8.8 3.23667 1.20691
8.9 3.34175 0.908004
9 3.4164 0.595559
9.1 3.45943 0.272482
9.2 3.46993 -0.0581567
9.3 3.44731 -0.393162
9.4 3.39131 -0.729245
9.5 3.30197 -1.06305
9.6 3.1797 -1.39121
9.7 3.02524 -1.71034
9.8 2.83964 -2.01712
9.9 2.6243 -2.30829
10 2.38092 -2.58072
10.1 2.11153 -2.83142
10.2 1.81843 -3.05757
10.3 1.50419 -3.25659
10.4 1.17162 -3.42612
10.5 0.823777 -3.56406
10.6 0.463881 -3.66864
10.7 0.09533 -3.73838
10.8 -0.278353 -3.77213
10.9 -0.653547 -3.76913
11 -1.02657 -3.72893
11.1 -1.39373 -3.65151
11.2 -1.75133 -3.53719
11.3 -2.09574 -3.38669
11.4 -2.4234 -3.20108
11.5 -2.73091 -2.98184
11.6 -3.015 -2.73077
11.7 -3.27262 -2.45003
11.8 -3.50094 -2.14212
11.9 -3.6974 -1.80981
12 -3.85972 -1.45618
12.1 -3.98594 -1.08455
12.2 -4.07446 -0.698433
12.3 -4.12402 -0.301563
12.4 -4.13374 0.1022
12.5 -4.10313 0.508882
12.6 -4.03212 0.914439
12.7 -3.92101 1.3148
12.8 -3.77054 1.7059
12.9 -3.5818 2.08375
13 -3.35634 2.44442
13.1 -3.09604 2.78416
13.2 -2.80316 3.09936
13.3 -2.48033 3.38664
13.4 -2.13047 3.64289
13.5 -1.75681 3.86525
13.6 -1.36285 4.0512
13.7 -0.952335 4.19857
13.8 -0.529182 4.30554
13.9 -0.0974852 4.37071
14 0.338546 4.39308
14.1 0.774623 4.37206
14.2 1.20642 4.30751
14.3 1.62962 4.19972
14.4 2.03996 4.04943
14.5 2.43327 3.8578
14.6 2.80552 3.62644
14.7 3.15285 3.35734
14.8 3.47162 3.05293
14.9 3.75847 2.71596
15 4.01032 2.34959
15.1 4.2244 1.95725
15.2 4.39833 1.54268
15.3 4.53008 1.10988
15.4 4.61807 0.663036
15.5 4.66111 0.206535
15.6 4.65846 -0.255127
15.7 4.60985 -0.717364
15.8 4.51545 -1.17555
15.9 4.37589 -1.62508
16 4.19226 -2.0614
16.1 3.96611 -2.48004
16.2 3.6994 -2.8767
16.3 3.39454 -3.24727
16.4 3.05431 -3.58788
16.5 2.68187 -3.89493
16.6 2.28073 -4.16513
16.7 1.8547 -4.39556
16.8 1.40787 -4.58365
16.9 0.944555 -4.72728
17 0.469271 -4.82473
17.1 -0.0133274 -4.87476
17.2 -0.498482 -4.8766
17.3 -0.981383 -4.82993
17.4 -1.45721 -4.73495
17.5 -1.9212 -4.59233
17.6 -2.36866 -4.40324
17.7 -2.79505 -4.1693
17.8 -3.19601 -3.89261
17.9 -3.56742 -3.57571
18 -3.90543 -3.22154
18.1 -4.20649 -2.83345
18.2 -4.46741 -2.41514
18.3 -4.68539 -1.97065
18.4 -4.85805 -1.50428
18.5 -4.98343 -1.02059
18.6 -5.06005 -0.524322
18.7 -5.0869 -0.020389
18.8 -5.06348 0.48621
18.9 -4.98976 0.990419
19 -4.86625 1.48718
19.1 -4.69394 1.97149
19.2 -4.4743 2.43844
19.3 -4.20931 2.88328
19.4 -3.9014 3.30145
19.5 -3.55344 3.68865
19.6 -3.1687 4.04085
19.7 -2.75086 4.35438
19.8 -2.30394 4.62593
19.9 -1.83225 4.85258
20 -1.34038 5.03187
20.1 -0.833157 5.16181
20.2 -0.315558 5.24088
20.3 0.2073 5.26806
20.4 0.730232 5.24286
20.5 1.24803 5.16532
20.6 1.7555 5.036
20.7 2.24756 4.85596
20.8 2.71924 4.62681
20.9 3.16576 4.35064
21 3.58256 4.03002
21.1 3.96537 3.66798
21.2 4.31026 3.26798
21.3 4.61362 2.83387
21.4 4.87229 2.36987
21.5 5.08352 1.8805
21.6 5.24502 1.37055
21.7 5.35499 0.845062
21.8 5.41215 0.309224
