Wähle das Verfahren (n = 50000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
0 0 1
0.001 0.0005 0.99995
0.002 0.000999975 0.999901
0.003 0.00149993 0.999852
0.004 0.00199985 0.999803
0.005 0.00249975 0.999754
0.006 0.00299963 0.999706
0.007 0.00349948 0.999657
0.008 0.00399931 0.999609
0.009 0.00449912 0.999562
0.01 0.0049989 0.999514
0.011 0.00549865 0.999467
0.012 0.00599839 0.99942
0.013 0.0064981 0.999373
0.014 0.00699778 0.999327
0.015 0.00749745 0.999281
0.016 0.00799709 0.999235
0.017 0.0084967 0.999189
0.018 0.0089963 0.999143
0.019 0.00949587 0.999098
0.02 0.00999542 0.999053
0.021 0.0104949 0.999009
0.022 0.0109944 0.998964
0.023 0.0114939 0.99892
0.024 0.0119934 0.998876
0.025 0.0124928 0.998832
0.026 0.0129922 0.998789
0.027 0.0134916 0.998746
0.028 0.013991 0.998703
0.029 0.0144904 0.99866
0.03 0.0149897 0.998618
0.031 0.015489 0.998575
0.032 0.0159883 0.998533
0.033 0.0164876 0.998492
0.034 0.0169868 0.99845
0.035 0.017486 0.998409
0.036 0.0179852 0.998368
0.037 0.0184844 0.998328
0.038 0.0189836 0.998287
0.039 0.0194827 0.998247
0.04 0.0199818 0.998207
0.041 0.0204809 0.998167
0.042 0.02098 0.998128
0.043 0.0214791 0.998089
0.044 0.0219781 0.99805
0.045 0.0224772 0.998011
0.046 0.0229762 0.997973
0.047 0.0234752 0.997935
0.048 0.0239741 0.997897
0.049 0.0244731 0.997859
0.05 0.024972 0.997822
0.051 0.0254709 0.997785
0.052 0.0259698 0.997748
0.053 0.0264687 0.997711
0.054 0.0269675 0.997675
0.055 0.0274664 0.997639
0.056 0.0279652 0.997603
0.057 0.028464 0.997567
0.058 0.0289628 0.997532
0.059 0.0294615 0.997497
0.06 0.0299603 0.997462
0.061 0.030459 0.997427
0.062 0.0309577 0.997393
0.063 0.0314564 0.997359
0.064 0.0319551 0.997325
0.065 0.0324538 0.997291
0.066 0.0329524 0.997258
0.067 0.033451 0.997225
0.068 0.0339497 0.997192
0.069 0.0344483 0.997159
0.07 0.0349468 0.997127
0.071 0.0354454 0.997095
0.072 0.0359439 0.997063
0.073 0.0364425 0.997031
0.074 0.036941 0.997
0.075 0.0374395 0.996969
0.076 0.037938 0.996938
0.077 0.0384364 0.996907
0.078 0.0389349 0.996877
0.079 0.0394333 0.996847
0.08 0.0399318 0.996817
0.081 0.0404302 0.996788
0.082 0.0409286 0.996758
0.083 0.0414269 0.996729
0.084 0.0419253 0.9967
0.085 0.0424237 0.996672
0.086 0.042922 0.996643
0.087 0.0434203 0.996615
0.088 0.0439186 0.996587
0.089 0.0444169 0.99656
0.09 0.0449152 0.996532
0.091 0.0454135 0.996505
0.092 0.0459117 0.996478
0.093 0.04641 0.996452
0.094 0.0469082 0.996426
0.095 0.0474064 0.996399
0.096 0.0479046 0.996374
0.097 0.0484028 0.996348
0.098 0.0489009 0.996323
0.099 0.0493991 0.996298
0.1 0.0498973 0.996273
0.101 0.0503954 0.996248
0.102 0.0508935 0.996224
0.103 0.0513916 0.9962
0.104 0.0518897 0.996176
0.105 0.0523878 0.996152
0.106 0.0528859 0.996129
0.107 0.053384 0.996106
0.108 0.053882 0.996083
0.109 0.0543801 0.99606
0.11 0.0548781 0.996038
0.111 0.0553761 0.996016
0.112 0.0558741 0.995994
0.113 0.0563721 0.995972
0.114 0.0568701 0.995951
0.115 0.0573681 0.99593
0.116 0.057866 0.995909
0.117 0.058364 0.995888
0.118 0.0588619 0.995868
0.119 0.0593599 0.995848
0.12 0.0598578 0.995828
0.121 0.0603557 0.995809
0.122 0.0608536 0.995789
0.123 0.0613515 0.99577
0.124 0.0618494 0.995751
0.125 0.0623473 0.995733
0.126 0.0628451 0.995714
0.127 0.063343 0.995696
0.128 0.0638408 0.995678
0.129 0.0643387 0.995661
0.13 0.0648365 0.995643
0.131 0.0653343 0.995626
0.132 0.0658321 0.995609
0.133 0.0663299 0.995592
0.134 0.0668277 0.995576
0.135 0.0673255 0.99556
0.136 0.0678233 0.995544
0.137 0.0683211 0.995528
0.138 0.0688188 0.995513
0.139 0.0693166 0.995498
0.14 0.0698143 0.995483
0.141 0.0703121 0.995468
0.142 0.0708098 0.995454
0.143 0.0713075 0.99544
0.144 0.0718053 0.995426
0.145 0.072303 0.995412
0.146 0.0728007 0.995399
0.147 0.0732984 0.995385
0.148 0.0737961 0.995372
0.149 0.0742938 0.99536
0.15 0.0747914 0.995347
0.151 0.0752891 0.995335
0.152 0.0757868 0.995323
0.153 0.0762844 0.995312
0.154 0.0767821 0.9953
0.155 0.0772798 0.995289
0.156 0.0777774 0.995278
0.157 0.078275 0.995267
0.158 0.0787727 0.995257
0.159 0.0792703 0.995246
0.16 0.0797679 0.995236
0.161 0.0802655 0.995227
0.162 0.0807632 0.995217
0.163 0.0812608 0.995208
0.164 0.0817584 0.995199
0.165 0.082256 0.99519
0.166 0.0827536 0.995182
0.167 0.0832511 0.995173
0.168 0.0837487 0.995165
0.169 0.0842463 0.995158
0.17 0.0847439 0.99515
0.171 0.0852415 0.995143
0.172 0.085739 0.995136
0.173 0.0862366 0.995129
0.174 0.0867342 0.995122
0.175 0.0872317 0.995116
