Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: leap-frog
0 0 1
0.01 0.01 1 0.50005
0.02 0.0199985 0.9998 0.5
0.03 0.0299945 0.9995 0.49995
0.04 0.039987 0.9991 0.4999
0.05 0.049975 0.9986 0.49985
0.06 0.0599575 0.998001 0.4998
0.07 0.0699335 0.997301 0.49975
0.08 0.079902 0.996502 0.4997
0.09 0.0898621 0.995603 0.499651
0.1 0.0998126 0.994605 0.499601
0.11 0.109753 0.993508 0.499552
0.12 0.119681 0.992311 0.499502
0.13 0.129597 0.991015 0.499453
0.14 0.1395 0.989619 0.499403
0.15 0.149388 0.988125 0.499354
0.16 0.159261 0.986533 0.499305
0.17 0.169117 0.984841 0.499257
0.18 0.178956 0.983052 0.499208
0.19 0.188777 0.981164 0.499159
0.2 0.198578 0.979178 0.499111
0.21 0.208359 0.977094 0.499063
0.22 0.218119 0.974912 0.499015
0.23 0.227856 0.972634 0.498967
0.24 0.23757 0.970258 0.49892
0.25 0.24726 0.967785 0.498872
0.26 0.256924 0.965215 0.498825
0.27 0.266562 0.96255 0.498779
0.28 0.276174 0.959788 0.498732
0.29 0.285757 0.95693 0.498686
0.3 0.295311 0.953976 0.49864
0.31 0.304835 0.950928 0.498594
0.32 0.314328 0.947784 0.498548
0.33 0.323789 0.944546 0.498503
0.34 0.333217 0.941213 0.498458
0.35 0.342612 0.937787 0.498414
0.36 0.351972 0.934267 0.498369
0.37 0.361296 0.930654 0.498325
0.38 0.370583 0.926947 0.498282
0.39 0.379833 0.923149 0.498238
0.4 0.389045 0.919258 0.498195
0.41 0.398217 0.915275 0.498153
0.42 0.407349 0.911201 0.498111
0.43 0.41644 0.907036 0.498069
0.44 0.425489 0.902781 0.498027
0.45 0.434494 0.898436 0.497986
0.46 0.443456 0.894001 0.497945
0.47 0.452373 0.889477 0.497905
0.48 0.461244 0.884864 0.497865
0.49 0.470069 0.880163 0.497825
0.5 0.478846 0.875374 0.497786
0.51 0.487575 0.870497 0.497748
0.52 0.496255 0.865534 0.497709
0.53 0.504884 0.860485 0.497671
0.54 0.513463 0.85535 0.497634
0.55 0.52199 0.850129 0.497597
0.56 0.530464 0.844824 0.49756
0.57 0.538885 0.839435 0.497524
0.58 0.547252 0.833962 0.497488
0.59 0.555563 0.828406 0.497453
0.6 0.563819 0.822767 0.497418
0.61 0.572017 0.817046 0.497384
0.62 0.580158 0.811244 0.49735
0.63 0.588241 0.805361 0.497317
0.64 0.596264 0.799398 0.497284
0.65 0.604228 0.793355 0.497252
0.66 0.61213 0.787233 0.49722
0.67 0.619971 0.781033 0.497188
0.68 0.62775 0.774755 0.497157
0.69 0.635465 0.768399 0.497127
0.7 0.643117 0.761967 0.497097
0.71 0.650703 0.75546 0.497067
0.72 0.658225 0.748877 0.497038
0.73 0.66568 0.742219 0.49701
0.74 0.673068 0.735488 0.496982
0.75 0.680388 0.728684 0.496954
0.76 0.68764 0.721806 0.496927
0.77 0.694823 0.714858 0.4969
0.78 0.701937 0.707837 0.496874
