Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Verlet
0 0 1
0.01 0.019999 0.99995 0.50015
0.02 0.029996 0.9998 0.50025
0.03 0.03999 0.99955 0.50035
0.04 0.04998 0.9992 0.500449
0.05 0.059965 0.99875 0.500549
0.06 0.069944 0.998201 0.500648
0.07 0.079916 0.997551 0.500747
0.08 0.08988 0.996802 0.500846
0.09 0.0998351 0.995953 0.500944
0.1 0.10978 0.995004 0.501042
0.11 0.119714 0.993956 0.50114
0.12 0.129636 0.992809 0.501237
0.13 0.139545 0.991562 0.501334
0.14 0.149441 0.990216 0.50143
0.15 0.159321 0.988771 0.501526
0.16 0.169185 0.987227 0.501621
0.17 0.179033 0.985585 0.501715
0.18 0.188862 0.983844 0.501809
0.19 0.198673 0.982004 0.501901
0.2 0.208463 0.980066 0.501994
0.21 0.218233 0.978031 0.502085
0.22 0.227981 0.975897 0.502175
0.23 0.237707 0.973666 0.502265
0.24 0.247408 0.971338 0.502354
0.25 0.257085 0.968912 0.502442
0.26 0.266736 0.96639 0.502529
0.27 0.27636 0.963771 0.502614
0.28 0.285957 0.961055 0.502699
0.29 0.295525 0.958244 0.502783
0.3 0.305064 0.955336 0.502865
0.31 0.314572 0.952333 0.502947
0.32 0.324048 0.949235 0.503027
0.33 0.333493 0.946042 0.503106
0.34 0.342903 0.942754 0.503184
0.35 0.35228 0.939372 0.503261
0.36 0.361621 0.935896 0.503336
0.37 0.370927 0.932327 0.50341
0.38 0.380195 0.928664 0.503482
0.39 0.389425 0.924908 0.503554
0.4 0.398616 0.92106 0.503623
0.41 0.407767 0.91712 0.503692
0.42 0.416878 0.913088 0.503759
0.43 0.425946 0.908965 0.503824
0.44 0.434973 0.904751 0.503888
0.45 0.443955 0.900446 0.50395
0.46 0.452894 0.896052 0.504011
0.47 0.461787 0.891567 0.50407
0.48 0.470634 0.886994 0.504127
0.49 0.479433 0.882332 0.504183
0.5 0.488185 0.877582 0.504237
0.51 0.496888 0.872743 0.50429
0.52 0.505542 0.867818 0.50434
0.53 0.514144 0.862806 0.504389
0.54 0.522696 0.857708 0.504437
0.55 0.531195 0.852523 0.504482
0.56 0.539641 0.847254 0.504526
0.57 0.548033 0.8419 0.504568
0.58 0.55637 0.836461 0.504608
0.59 0.564652 0.830939 0.504646
0.6 0.572877 0.825334 0.504682
0.61 0.581045 0.819647 0.504717
0.62 0.589154 0.813877 0.504749
0.63 0.597205 0.808026 0.50478
0.64 0.605196 0.802094 0.504809
0.65 0.613127 0.796082 0.504836
0.66 0.620996 0.789991 0.504861
0.67 0.628803 0.78382 0.504884
0.68 0.636547 0.777571 0.504905
0.69 0.644228 0.771244 0.504924
0.7 0.651844 0.76484 0.504941
0.71 0.659395 0.75836 0.504956
0.72 0.66688 0.751804 0.504969
0.73 0.674299 0.745172 0.50498
0.74 0.68165 0.738466 0.504989
0.75 0.688932 0.731687 0.504997
0.76 0.696146 0.724834 0.505002
0.77 0.703291 0.717908 0.505005
0.78 0.710364 0.710911 0.505006
0.79 0.717367 0.703843 0.505005
0.8 0.724299 0.696704 0.505003
0.81 0.731157 0.689496 0.504998
0.82 0.737943 0.682219 0.504991
0.83 0.744655 0.674873 0.504982
0.84 0.751292 0.66746 0.504972
0.85 0.757854 0.65998 0.504959
0.86 0.764341 0.652435 0.504944
0.87 0.770751 0.644824 0.504927
0.88 0.777084 0.637148 0.504909
0.89 0.783339 0.629409 0.504888
0.9 0.789516 0.621607 0.504865
0.91 0.795614 0.613743 0.504841
0.92 0.801632 0.605817 0.504814
0.93 0.807571 0.597831 0.504786
0.94 0.813428 0.589785 0.504756
0.95 0.819204 0.58168 0.504723
0.96 0.824898 0.573517 0.504689
